id|tweet_text|text|emojis|sentiment_label|sarcasm_label
1191929120692801537|@NoWiwiNoWowo @emang_bacin @awans3nja @AbuAlRayyan1 @Restichayah @adearmando1 @aniesbaswedan @jokowi @DivHumas_Polri @CCICPolri Manusia sampah, goglingnya sampah juga 😂😂|@NoWiwiNoWowo @emang_bacin @awans3nja @AbuAlRayyan1 @Restichayah @adearmando1 @aniesbaswedan @jokowi @DivHumas_Polri @CCICPolri Manusia sampah, goglingnya sampah juga |😂,😂|-1|-1
1191859452493746176|KompasTV Perang dagang negara Adidaya USA-RRC makin sengit aja, ekonomi dunia akan amburadul, seharusnya Jokowi cs bersyukur masih ada orang seperti Terawan yg bikin Keajaiban memihak dalam kehidupan negara ini. 😁😁😁|KompasTV Perang dagang negara Adidaya USA-RRC makin sengit aja, ekonomi dunia akan amburadul, seharusnya Jokowi cs bersyukur masih ada orang seperti Terawan yg bikin Keajaiban memihak dalam kehidupan negara ini. |😁,😁,😁|-1|-1
1192415629455712256|"@jokowi Kayak DKI pak anggaran gak jelas , tertutup tidak transparan terindikasi korupsi .
Pasar ruwet ,   PKL di trotoar ,  macet dimana mana  😂 cocok dicontoh 😂🙏🙏🙏🙏🙏"|"@jokowi Kayak DKI pak anggaran gak jelas , tertutup tidak transparan terindikasi korupsi .
Pasar ruwet ,   PKL di trotoar ,  macet dimana mana   cocok dicontoh "|😂,😂,🙏,🙏,🙏,🙏,🙏|-1|-1
1192590983470338048|@geloraco Si bangsat PSI pendukung jokowi ahok itu ya  ...😂😂😂|@geloraco Si bangsat PSI pendukung jokowi ahok itu ya  ...|😂,😂,😂|-1|-1
1192777242750799872|@ixi_iman @HamdaniAbdulla6 @Dennysiregar7 @msaid_didu Ngegas gmn Bro, gue juga orang pemerintah dan gue tahu tata krama sama etika gmn menjadi pegawai pemerintah, mau dia thn 2012 jadi tenaga ahli, tapi khan skrg kerja di jaman pemerintah jokowi, udahlah kenapa sich parno banget sama pemerintah jokowi😂😂😂🤣🤣🤣|@ixi_iman @HamdaniAbdulla6 @Dennysiregar7 @msaid_didu Ngegas gmn Bro, gue juga orang pemerintah dan gue tahu tata krama sama etika gmn menjadi pegawai pemerintah, mau dia thn 2012 jadi tenaga ahli, tapi khan skrg kerja di jaman pemerintah jokowi, udahlah kenapa sich parno banget sama pemerintah jokowi|😂,😂,😂,🤣,🤣,🤣|-1|-1
1189745638314897408|@Hirman08 @prabowo Sstt... berisik!! 🤣🤣🤣 https://t.co/CMTTv4ym8M|@Hirman08 @prabowo Sstt... berisik!!  https://t.co/CMTTv4ym8M|🤣,🤣,🤣|-1|-1
1191241551009107969|@RamliRizal @jokowi Mereka tdk akn peduli dg rakyat.. yg penting perut ATM&amp; dompet mereka penuh. Manusia² serakah 😡😡|@RamliRizal @jokowi Mereka tdk akn peduli dg rakyat.. yg penting perut ATM&amp; dompet mereka penuh. Manusia² serakah |😡,😡|-1|-1
1192776820271112193|Lulusan harvard, IQ 160, sudah ditest oleh Jokowi dng membaca huruf abjad dalam waktu 2 detik. 😜😜😜 https://t.co/OpwXJuNhZV|Lulusan harvard, IQ 160, sudah ditest oleh Jokowi dng membaca huruf abjad dalam waktu 2 detik.  https://t.co/OpwXJuNhZV|😜,😜,😜|-1|-1
1192121168381104129|"@Marshmellouww @iirkoe_ @jokowi @aniesbaswedan @SuaraAnies Ini juga kenapa ga Lo umbar zaman Ahok... Wkwkwkw 🤣🤣🤣

https://t.co/nu9zk3ylpf"|"@Marshmellouww @iirkoe_ @jokowi @aniesbaswedan @SuaraAnies Ini juga kenapa ga Lo umbar zaman Ahok... Wkwkwkw 

https://t.co/nu9zk3ylpf"|🤣,🤣,🤣|-1|-1
1192429247350001664|"@snjayajonggrang @zulfikar_husein @MurtadhaOne1 @jokowi @KHMarufAmin_ @GeneralMoeldoko @DivHumas_Polri @kemkominfo @tempodotco @BadjaNuswantara @sunarwidjaja @V_Stone_Kardol @HmfaqihA @permadiaktivis @Airin_NZ Itulah politikus yang tidak pernah puas dan tidak untuk mencari kesejahteraan bangsa Indonesia. 

👍😅👍😂👍😅👍😂"|"@snjayajonggrang @zulfikar_husein @MurtadhaOne1 @jokowi @KHMarufAmin_ @GeneralMoeldoko @DivHumas_Polri @kemkominfo @tempodotco @BadjaNuswantara @sunarwidjaja @V_Stone_Kardol @HmfaqihA @permadiaktivis @Airin_NZ Itulah politikus yang tidak pernah puas dan tidak untuk mencari kesejahteraan bangsa Indonesia. 

"|👍,😅,👍,😂,👍,😅,👍,😂|-1|-1
